Organism	Proteomic Datasets
Cellulomonas gilvus ATCC 13127	Biodiversity_Cellulomonas_gilvus_GS2_01_27Dec15_Arwen_15-07-13, Biodiversity_Cellulomonas_gilvus_GS2_02_27Dec15_Arwen_15-07-13, Biodiversity_Cellulomonas_gilvus_GS2_03_27Dec15_Arwen_15-07-13
Cellulomonas gilvus ATCC 13127	Biodiversity_C_gilvus_GS2_anaerobic_01_01Feb16_Arwen_15-07-13, Biodiversity_C_gilvus_GS2_anaerobic_02_01Feb16_Arwen_15-07-13, Biodiversity_C_gilvus_GS2_anaerobic_03_01Feb16_Arwen_15-07-13
Fibrobacter succinogenes S85	Biodiversity_F_succinogenes_MDM_01_27Dec15_Arwen_15-07-13, Biodiversity_F_succinogenes_MDM_02_27Dec15_Arwen_15-07-13, Biodiversity_F_succinogenes_MDM_03_27Dec15_Arwen_15-07-13
Lactobacillus casei ATCC 334	Biodiversity_Lactobacillus_casei_MRS_01_27Dec15_Arwen_15-07-13, Biodiversity_Lactobacillus_casei_MRS_02_27Dec15_Arwen_15-07-13, Biodiversity_Lactobacillus_casei_MRS_03_27Dec15_Arwen_15-07-13
Bacillus subtilis 168	Biodiversity_Bacillus_subtilis_LB_01_27Dec15_Arwen_15-07-13, Biodiversity_Bacillus_subtilis_LB_02_27Dec15_Arwen_15-07-13, Biodiversity_Bacillus_subtilis_LB_03_27Dec15_Arwen_15-07-13
Bacteroides fraglilis 638R	Biodiversity_B_fragilis_LB_anaerobic_01_01Feb16_Arwen_15-07-13, Biodiversity_B_fragilis_LB_anaerobic_02_01Feb16_Arwen_15-07-13, Biodiversity_B_fragilis_LB_anaerobic_03_01Feb16_Arwen_15-07-13,
Bacteroides fraglilis 638R	Biodiversity_B_fragilis_LIB_aerobic_01_01Feb16_Arwen_15-07-13, Biodiversity_B_fragilis_LIB_aerobic_02_01Feb16_Arwen_15-07-13, Biodiversity_B_fragilis_LIB_aerobic_03_01Feb16_Arwen_15-07-13
Bacteroides fraglilis 638R	Biodiversity_B_fragilis_LIB_anaerobic_01_08Feb16_Arwen_15-07-13, Biodiversity_B_fragilis_LIB_anaerobic_02_01Feb16_Arwen_15-07-13, Biodiversity_B_fragilis_LIB_anaerobic_03_01Feb16_Arwen_15-07-13
Bacteroides fraglilis 638R	Biodiversity_B_fragilis_CMgluc_anaerobic_01_01Feb16_Arwen_15-07-13, Biodiversity_B_fragilis_CMgluc_anaerobic_02_01Feb16_Arwen_15-07-13, Biodiversity_B_fragilis_CMgluc_anaerobic_03_01Feb16_Arwen_15-07-13
Bacteroides fraglilis 638R	Biodiversity_B_fragilis_CMcarb_anaerobic_01_01Feb16_Arwen_15-07-13, Biodiversity_B_fragilis_CMcarb_anaerobic_02_01Feb16_Arwen_15-07-13, Biodiversity_B_fragilis_CMcarb_anaerobic_03_01Feb16_Arwen_15-07-13
Bacteroides thetaiotaomicron VPI15482	Biodiversity_B_thet_LB_anaerobic_01_01Feb16_Arwen_15-07-13, Biodiversity_B_thet_LB_anaerobic_02_01Feb16_Arwen_15-07-13, Biodiversity_B_thet_LB_anaerobic_03_01Feb16_Arwen_15-07-13
Bacteroides thetaiotaomicron VPI15482	Biodiversity_B_thet_LIB_anaerobic_01_01Feb16_Arwen_15-07-13, Biodiversity_B_thet_LIB_anaerobic_02_01Feb16_Arwen_15-07-13, Biodiversity_B_thet_LIB_anaerobic_03_01Feb16_Arwen_15-07-13
Bacteroides thetaiotaomicron VPI15482	Biodiversity_B_thet_CMgluc_anaerobic_01_01Feb16_Arwen_15-07-13, Biodiversity_B_thet_CMgluc_anaerobic_02_01Feb16_Arwen_15-07-13, Biodiversity_B_thet_CMgluc_anaerobic_03_01Feb16_Arwen_15-07-13
Bacteroides thetaiotaomicron VPI15482	Biodiversity_B_thet_CMcarb_anaerobic_01_01Feb16_Arwen_15-07-13, Biodiversity_B_thet_CMcarb_anaerobic_02_01Feb16_Arwen_15-07-13, Biodiversity_B_thet_CMcarb_anaerobic_03_01Feb16_Arwen_15-07-13
Citrobacter freundii UCI31	Biodiversity_Cibrobacter_freundii_LB_aerobic_01_01Feb16_Arwen_15-07-13, Biodiversity_Cibrobacter_freundii_LB_aerobic_02_01Feb16_Arwen_15-07-13, Biodiversity_Cibrobacter_freundii_LB_aerobic_03_01Feb16_Arwen_15-07-13
Francisella novicida U112	Biodiversity_F_novicida_TSB_aerobic_01_01Feb16_Arwen_15-07-13, Biodiversity_F_novicida_TSB_aerobic_02_01Feb16_Arwen_15-07-13, Biodiversity_F_novicida_TSB_aerobic_03_01Feb16_Arwen_15-07-13
Micrococcus luteus ATCC 49732	Biodiversity_M_luteus_LIB_aerobic_01_26Feb16_Arwen_16-01-01, Biodiversity_M_luteus_LIB_aerobic_02_26Feb16_Arwen_16-01-01, Biodiversity_M_luteus_LIB_aerobic_03_26Feb16_Arwen_16-01-01
Alcaligenes faecalis	Biodiversity_A_faecalis_LB_aerobic_01_26Feb16_Arwen_16-01-01, Biodiversity_A_faecalis_LB_aerobic_02_26Feb16_Arwen_16-01-01, Biodiversity_A_faecalis_LB_aerobic_03_26Feb16_Arwen_16-01-01
Streptococcus agalactiae ATCC 27956	Biodiversity_S_agalactiae_LIB_aerobic_01_26Feb16_Arwen_16-01-01, Biodiversity_S_agalactiae_LIB_aerobic_02_26Feb16_Arwen_16-01-01, Biodiversity_S_agalactiae_LIB_aerobic_03_26Feb16_Arwen_16-01-01
Anaerococcus hydrogenalis DSM 7454	Biodiversity_P_hydrogenalis_CMgluc_anaerobic_01_26Feb16_Arwen_16-01-01, Biodiversity_P_hydrogenalis_CMgluc_anaerobic_02_26Feb16_Arwen_16-01-01, Biodiversity_P_hydrogenalis_CMgluc_anaerobic_03_26Feb16_Arwen_16-01-01
Synechococcus elongatus PCC 7942	Biodiversity_S_elongatus_BG11_aerobic_1_14July16_Pippin_16-05-01, Biodiversity_S_elongatus_BG11_aerobic_2_14July16_Pippin_16-05-01, Biodiversity_S_elongatus_BG11_aerobic_3_14July16_Pippin_16-05-01
Synechococcus elongatus PCC 7942	Biodiversity_S_elongatus_BG11NaCl_aerobic_1_05Oct16_Pippin_16-05-06, Biodiversity_S_elongatus_BG11NaCl_aerobic_2_05Oct16_Pippin_16-05-06, Biodiversity_S_elongatus_BG11NaCl_aerobic_3_05Oct16_Pippin_16-05-06
Bifidobacterium (longum) infantis	Biodiversity_B_infantis_CMcarb_anaerobic_01_26Feb16_Arwen_16-01-01, Biodiversity_B_infantis_CMcarb_anaerobic_02_26Feb16_Arwen_16-01-01, Biodiversity_B_infantis_CMcarb_anaerobic_03_26Feb16_Arwen_16-01-01 
Bifidobacterium bifidum	Biodiversity_B_bifidum_CMcarb_anaerobic_01_26Feb16_Arwen_16-01-01, Biodiversity_B_bifidum_CMcarb_anaerobic_02_26Feb16_Arwen_16-01-01, Biodiversity_B_bifidum_CMcarb_anaerobic_03_26Feb16_Arwen_16-01-01
Acidiphilium cryptum JF-5	Biodiversity_A_cryptum_FeTSB_anaerobic_1_01Jun16_Pippin_16-03-39, Biodiversity_A_cryptum_FeTSB_anaerobic_2_01Jun16_Pippin_16-03-39, Biodiversity_A_cryptum_FeTSB_anaerobic_3_01Jun16_Pippin_16-03-39
Sulfobacillus thermosulfidooxidans DSMZ 9293	Biodiversity_S_thermosulf_FeYE_anaerobic_1_01Jun16_Pippin_16-03-39, Biodiversity_S_thermosulf_FeYE_anaerobic_2_01Jun16_Pippin_16-03-39, Biodiversity_S_thermosulf_FeYE_anaerobic_3_01Jun16_Pippin_16-03-39
Delftia acidovorans	Biodiversity_D_acidovorans_TGY_aerobic_03_29Apr16_Samwise_16-03-32_renamed, Biodiversity_D_acidovorans_TGY_aerobic_02_29Apr16_Samwise_16-03-32_renamed, Biodiversity_D_acidovorans_TGY_aerobic_01_29Apr16_Samwise_16-03-32_renamed
Paracoccus denitrificans ATCC 19367	Biodiversity_P_denitrificans_LIB_aerobic_01_29Apr16_Samwise_16-03-32_renamed, Biodiversity_P_denitrificans_LIB_aerobic_03_29Apr16_Samwise_16-03-32_renamed, Biodiversity_P_denitrificans_LIB_aerobic_02_29Apr16_Samwise_16-03-32_renamed
